id,sector,skills,education,location
1,Design,Illustration; Graphic Design; Adobe Photoshop; UI/UX,Diploma in Design,Navi Mumbai
2,FMCG,Brand Management; Product Management; Supply Chain; Consumer Behaviour; Marketing; Sales,Diploma Business Management,Allahabad
3,Finance/Banking,Accounting; Excel; Auditing,MBA Finance,Delhi
4,Education,Educational Research; Assessment Design; Public Speaking; Teaching; Classroom Management,PhD Education,Indore
5,Research,Statistics; Laboratory Techniques; Experimentation; Scientific Writing; Data Analysis; Machine Learning,PhD,Varanasi
6,Travel & Logistics,Transportation Planning; Warehouse Management; Customer Service; Inventory Management,MBA Operations,Tiruchirappalli
7,Research,Scientific Writing; Machine Learning; Data Analysis; Laboratory Techniques,M.Tech,Kota
8,Agriculture,Fertilizer Application; Farm Mechanization; Irrigation Systems; Crop Management,B.Sc Agriculture,Tiruchirappalli
9,Agriculture,Irrigation Systems; Soil Science; Farm Mechanization; Crop Management; Agribusiness; Fertilizer Application,B.Sc Agriculture,Dhanbad
10,IT/Software,C++; Python; Machine Learning; Cloud Computing; Web Development; Data Analysis,MCA,Nashik
11,Research,Machine Learning; Data Analysis; Laboratory Techniques; Scientific Writing,PhD,Bareilly
12,Travel & Logistics,Inventory Management; Operations Management; Warehouse Management,MBA Operations,Ranchi
13,Research,Data Analysis; Scientific Writing; Machine Learning,PhD,Nagpur
14,Education,Educational Research; Public Speaking; Curriculum Development; Assessment Design; Teaching; Classroom Management,PhD Education,Delhi
15,Gems & Jewellery,Retail Management; Jewellery Design; CAD Design,Diploma Jewellery Design,Hyderabad
16,Chemical Industries,Quality Control; Process Design; Material Science; Chemical Engineering; Industrial Chemistry,M.Sc Chemistry,Jaipur
17,Design,3D Modeling; Graphic Design; AutoCAD,Diploma in Design,Ahmedabad
18,Education,Classroom Management; Educational Research; Teaching; Assessment Design,M.Ed,Raipur
19,Chemical Industries,Chemical Engineering; Quality Control; Material Science; Industrial Chemistry; Process Design; Safety Management,M.Sc Chemistry,Allahabad
20,FMCG,Sales; Supply Chain; Brand Management; Consumer Behaviour,MBA Marketing,Bareilly
21,Chemical Industries,Quality Control; Industrial Chemistry; Chemical Engineering; Material Science,B.Tech Chemical Engineering,Nashik
22,Pharamaceutical,Pharmacology; Clinical Trials; Drug Development; Medical Research; Quality Control; Regulatory Affairs,B.Pharm,Pune
23,Design,Graphic Design; UI/UX; 3D Modeling; Illustration; AutoCAD,Diploma in Design,Ghaziabad
